10.185.234.48;10.185.234.48;P55038SPKO1KUES;p55038spko1kues.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.234.42;10.185.234.42;P55038SPKO1DOAB;p55038spko1doab.hq.szb.sbrf.ru;Microsoft Windows Vista SP2;
10.185.234.40;10.185.234.40;P55007SPKO1ROIV;p55007spko1roiv.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.234.32;10.185.234.32;P55038SPKO2MUMV;p55038spko2mumv.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.234.15;10.185.234.15;P55038SPTEXADM1;p55038sptexadm1.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.234.11;10.185.234.11;P55038SPKO1KOIM;p55038spko1koim.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.234.3;10.185.234.3;P55038SPKO1ERNA;p55038spko1erna.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.254;10.185.233.254;P55038SPKO1BOIS;p55038spko1bois.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.253;10.185.233.253;P55038SPKO1FEAV;p55038spko1feav.hq.szb.sbrf.ru;Microsoft Windows Server 2008 SP2;
10.185.233.252;10.185.233.252;P55038SPKO1GOYY;p55038spko1goyy.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.251;10.185.233.251;;;"Cisco 800-series, 1801, 2000-series, 3800, 4000, or 7000-series router; or 1100 or 1242G WAP (IOS 12.2 - 12.4)";
10.185.233.249;10.185.233.249;P55038SPKO1LAIL;p55038spko1lail.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.248;10.185.233.248;P55038SPKO1VAIM;p55038spko1vaim.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.247;10.185.233.247;P55038SPKO1MITB;p55038spko1mitb.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.245;10.185.233.245;P55038SPKO1PRMV;p55038spko1prmv.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.244;10.185.233.244;P55038SPKO1GUVV;p55038spko1guvv.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.243;10.185.233.243;P55038SPKO2SOEA;p55038spko2soea.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.242;10.185.233.242;;;"Cisco 2900-series, 3650, or 3750 switch; 6509 or 7206VXR router; or uBR925 or uBR7111 cable modem (IOS 12.1 - 12.2)";
10.185.233.241;10.185.233.241;;;"Cisco 2900-series, 3650, or 3750 switch; 6509 or 7206VXR router; or uBR925 or uBR7111 cable modem (IOS 12.1 - 12.2)";
10.185.233.238;10.185.233.238;P55038SPKO1GATA;p55038spko1gata.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.236;10.185.233.236;P55038SPKO1ZUEL;p55038spko1zuel.hq.szb.sbrf.ru;Microsoft Windows Vista SP2;
10.185.233.235;10.185.233.235;P55038SPKO1GRDS;p55038spko1grds.hq.szb.sbrf.ru;Microsoft Windows Vista SP2;
10.185.233.231;10.185.233.231;P55038SPKO1CYNE;p55038spko1cyne.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.226;10.185.233.226;;;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.224;10.185.233.224;P55038SPKO1TUMV;p55038spko1tumv.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.223;10.185.233.223;P55038SPKO1ZHMA;p55038spko1zhma.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.222;10.185.233.222;P55038SPKO1BEMY;p55038spko1bemy.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.221;10.185.233.221;P55038SPKO1ALEA;p55038spko1alea.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.220;10.185.233.220;P55038SPKO1AK02;p55038spko1ak02.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.219;10.185.233.219;P55038SPKO1DEYS;p55038spko1deys.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.217;10.185.233.217;P55038SPKO1NITA;p55038spko1nita.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.215;10.185.233.215;P55038SPKO1PUEN;p55038spko1puen.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.213;10.185.233.213;P55038SPKO1IVT1;p55038spko1ivt1.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.211;10.185.233.211;P55038SPKO1KOON;p55038spko1koon.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.210;10.185.233.210;P55038SPKO1BYNV;p55038spko1bynv.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.209;10.185.233.209;P55038SPKO1KUAE;p55038spko1kuae.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.207;10.185.233.207;P55038SPKO1SAEV;p55038spko1saev.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.205;10.185.233.205;P55038SPKO1GREV;p55038spko1grev.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.204;10.185.233.204;P55038SPKO1MAGA;p55038spko1maga.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.203;10.185.233.203;P55038SPKO1SKNS;p55038spko1skns.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.202;10.185.233.202;P55038SPKO1BUEA;p55038spko1buea.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.201;10.185.233.201;P55038SPKO1ROEV;p55038spko1roev.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.200;10.185.233.200;P55038SPKO1SHO1;p55038spko1sho1.hq.szb.sbrf.ru;Microsoft Windows Server 2008 SP2;
10.185.233.199;10.185.233.199;P55038SPKO1LOLN;p55038spko1loln.hq.szb.sbrf.ru;Microsoft Windows Vista SP2;
10.185.233.196;10.185.233.196;P55038SPKO1KUA1;p55038spko1kua1.hq.szb.sbrf.ru;Microsoft Windows 7;
